Pool,Token 0,Token 1,Exchange,Reserve 0,Reserve 1,Quote,blockNumber
0xe0a0De6a56a79F45669f15B467DbeB4649ae67E2,0x419c4dB4B9e25d6Db2AD9691ccb832C8D9fDA05E,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,11688625428864130063576,225270569184140737,51887.050630700054,19538496.0
0x29C827Ce49aCCF68A1a278C67C9D30c52fBbC348,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xcB84d72e61e383767C4DFEb2d8ff7f4FB89abc6e,sushiswapV2,68209313081513635911,248980328500711763062074,0.0002739546272279,19538496.0
0xdBaa04796CB5C05D02B8A41B702d9b67c13c9fa9,0x1C9922314ED1415c95b9FD453c3818fd41867d0B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,3986816079276529460378247,8480117825861971197,470136.87323044776,19538496.0
0xD6931cf24c05AfD3C01016cE8A881B6c127E0C30,0xa35Bd2246978Dfbb1980DFf8Ff0f5834335dFdbc,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,58150941798641981381,56961493854562310613,1.020881614290465,19538496.0
0xd4e7a6e2D03e4e48DfC27dd3f46DF1c176647E38,0x2e9d63788249371f1DFC918a52f8d799F4a38C94,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,1877990732192197742112770,573385907883271224864,3270.459912617794,19538597.0
0x0E26A21013f2F8C0362cFae608b4e69a249D5EFc,0x4E15361FD6b4BB609Fa63C81A2be19d873717870,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,63218840833871966175140,17572136778423433394,3597.67520769002,19538496.0
0xD75EA151a61d06868E31F8988D28DFE5E9df57B4,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,4310995722556607920058,154008160564063884655,27.99199540314834,19538496.0
0xcc39592f5cB193a70f262aA301f54DB1d600e6Da,0x3155BA85D5F96b2d030a4966AF206230e46849cb,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,129997469269494559326241,12686503483477591477,10246.91077717341,19538496.0
0x104D92DEd53086B2980815F78A9143119Ad99D34,0xA49d7499271aE71cd8aB9Ac515e6694C755d400c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,686398891410913648847,111259254902547307,6169.3644453410625,19538496.0
0xaFa43241cf1A1d12268E75f1e7258b805E708Da5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf65B5C5104c4faFD4b709d9D60a185eAE063276c,sushiswapV2,10343304467486796429,133938154203100835843774,7.722448117212695e-05,19538496.0
